n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
224	4914.674	444.6101	3610	6636	4062	4223	4381	4553	4672	4788	4886	4994	5097	5265	5478	5699	5814
225	4958.041	436.6805	3663	6584	4115	4280	4423	4593	4710	4829	4917	5030	5151	5321	5563	5710	5842
226	4997.353	442.8887	3924	6513	4179	4322	4457	4626	4738	4851	4959	5069	5207	5368	5611	5777	5930
227	5033.762	476.6575	3623	6811	4135	4320	4444	4648	4767	4888	4998	5119	5254	5405	5647	5900	6031
228	5058.499	465.7378	3876	6740	4177	4334	4471	4647	4801	4916	5034	5174	5305	5453	5643	5813	5910
229	5087.999	463.9416	3882	6860	4160	4365	4527	4696	4836	4951	5067	5177	5320	5444	5690	5886	5973
230	5135.3	460.6089	3871	6661	4254	4400	4560	4746	4884	4984	5106	5226	5364	5524	5770	5930	6049
231	5181.359	476.5291	3991	6965	4302	4454	4588	4788	4895	5039	5147	5284	5394	5557	5834	6001	6154
232	5194.94	478.6104	4039	6763	4353	4473	4587	4791	4918	5046	5163	5281	5414	5594	5861	6059	6141
233	5238.778	484.279	4011	7102	4352	4472	4630	4836	4973	5088	5208	5330	5464	5633	5840	6047	6207
234	5277.282	476.5381	4160	6869	4384	4539	4687	4854	5003	5129	5254	5376	5512	5665	5886	6121	6250
235	5306.92	487.7568	4000	7018	4343	4567	4719	4898	5029	5151	5280	5405	5540	5711	5938	6124	6324
236	5342.984	501.2152	4134	6973	4407	4593	4748	4923	5055	5176	5300	5427	5569	5728	5991	6259	6494
237	5366.61	472.8189	4163	6852	4486	4646	4767	4975	5105	5233	5324	5453	5585	5755	5991	6155	6335
238	5423.275	530.2523	3972	7288	4458	4621	4776	4982	5133	5263	5376	5508	5652	5858	6143	6376	6468
239	5484.135	483.9576	4366	7269	4552	4717	4868	5060	5223	5351	5470	5580	5708	5880	6122	6307	6461
240	5512.21	512.7834	3917	7610	4561	4737	4893	5086	5232	5349	5467	5608	5754	5925	6184	6406	6573
241	5546.263	520.3511	4127	7536	4602	4728	4870	5095	5269	5397	5511	5649	5802	5974	6207	6484	6600
242	5584.808	501.5144	4380	7148	4689	4835	4971	5158	5278	5397	5553	5672	5812	6004	6246	6449	6637
