n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
74	416.9025	107.0786	202.8941	826.0145	238.9289	268.3375	292.2311	327.0076	355.6979	376.2858	401.253	424.2876	458.7984	499.947	561.62	619.3287	660.5445
75	424.3817	103.9648	205.1999	799.0939	253.7656	279.9571	300.9601	333.5221	362.1146	385.4724	411.7511	436.4253	469.8904	504.1944	554.7504	621.5593	650.5551
76	435.9373	109.4544	185.6233	923.9811	259.5824	279.8893	307.2507	342.412	369.0325	396.966	423.0213	450.9568	479.9417	517.2214	580.9449	636.1101	680.4756
77	440.7973	106.5962	215.5922	864.0405	255.5034	281.7801	311.2025	349.5039	375.8524	404.3884	428.9755	456.4975	493.8593	532.9221	583.9769	628.6565	664.4125
78	456.9372	111.597	206.5454	877.7802	273.4557	298.5816	321.5478	358.6321	388.3298	416.3916	440.9603	475.3273	507.9341	549.3278	607.9975	664.4419	688.048
79	466.3693	114.8995	225.1044	943.4448	270.433	299.6281	329.3494	367.9171	398.6703	422.3186	453.1777	477.7583	517.664	562.2935	626.6817	668.7443	705.0121
80	471.6008	118.9945	213.6984	1051.131	280.6225	306.0457	330.539	367.5173	398.0226	432.8487	458.4114	484.7639	522.7944	567.7852	625.8626	681.4807	731.6495
81	485.5029	122.0588	241.5885	1075.776	281.3787	313.3082	343.4865	379.6591	414.1715	444.2173	470.6134	501.5257	531.9652	582.061	640.7425	704.5651	736.3009
82	485.4198	123.129	246.189	1042.054	279.9303	309.9	339.9765	378.242	412.2523	441.3978	475.6722	503.2951	536.9888	581.2263	644.5145	697.5156	757.2193
83	500.5974	126.1343	237.4384	1079.001	296.5013	323.8101	353.143	387.04	419.2529	452.6743	484.4894	519.494	555.4269	610.5063	677.8237	724.6123	764.9346
84	510.3595	133.1396	267.9534	1005.141	305.8758	333.2732	359.9208	397.1259	429.7848	457.7467	485.5481	516.7543	559.7508	612.2679	700.9173	761.002	801.2266
85	512.282	130.2655	258.9923	993.7993	307.8051	328.6853	362.0815	400.6008	431.9259	459.5987	491.5211	526.9118	568.1681	618.4529	687.6983	753.7009	796.9831
86	532.0756	138.8289	260.4074	1047.69	309.6918	341.1114	377.3023	410.4814	444.2015	473.8259	511.2778	549.619	591.6688	636.4896	719.8354	789.6518	846.9044
87	533.9014	137.9933	241.7643	1133.642	313.7642	340.1867	372.5668	416.2007	448.7104	479.7228	513.1998	553.6407	592.3774	645.87	719.0445	784.4565	836.9946
88	543.8838	134.5025	263.5735	1135.628	331.0936	355.8272	385.3985	425.3316	465.2601	495.5805	528.7882	560.8654	592.547	649.683	715.9092	792.5049	840.6694
89	554.6335	137.8822	278.1043	1025.669	329.1899	356.2976	387.9897	432.2534	469.635	506.002	537.947	573.0436	617.4569	671.4402	741.8962	810.9673	848.3107
90	567.4094	153.8416	277.0108	1228.309	327.3744	356.8501	387.177	430.5775	472.8636	507.1666	550.9691	587.3542	633.1935	685.3525	769.5603	837.8556	910.8414
91	564.6097	145.7721	254.3914	1213.893	331.9443	366.9251	396.0543	438.8234	468.5147	502.7007	537.6337	583.4775	631.5901	691.2496	756.9207	827.1977	882.9615
92	587.622	148.0479	294.1275	1307.021	360.0278	387.2428	416.3244	460.4107	495.7731	535.3569	562.61	597.6512	650.4306	701.802	787.223	861.5184	917.5876
93	597.3737	154.82	300.0083	1300.67	343.7499	382.9282	417.7439	461.6676	501.7898	540.1444	577.4859	619.1147	658.6084	718.5228	804.7111	888.7154	960.0187
94	593.3407	150.1685	298.6151	1218.294	354.6872	389.4753	423.0946	466.94	503.4114	534.928	566.3912	609.9639	657.4169	716.638	793.2635	887.2232	936.8271
95	612.1203	162.5378	279.5013	1431.247	356.6903	393.4196	429.3053	473.4343	514.9942	552.5342	590.0458	630.5307	672.4396	729.1022	827.2164	918.281	974.2156
96	625.1249	159.7091	309.1278	1296.459	374.7319	400.5484	432.0718	481.8589	526.2756	566.8889	606.3596	642.7558	692.5995	751.7792	850.407	908.5808	967.8068
97	641.427	165.7597	302.2863	1487.357	376.4372	414.1135	453.288	503.0358	538.8042	581.006	617.2188	663.4553	707.2892	765.3045	859.33	937.1089	999.8815
98	640.2347	159.0897	252.2836	1304.493	381.7093	419.4079	453.5504	500.8892	545.2742	581.7482	619.0218	667.0397	707.0092	767.8913	850.2611	928.9968	998.3597
99	651.5144	174.3825	282.8074	1594.796	380.9895	418.2559	451.8252	501.0808	544.2095	584.3484	624.8648	662.0181	720.4651	786.8602	884.2788	964.3552	1033.647
100	669.0356	181.4352	303.2787	1293.824	381.9188	422.9811	456.6038	509.8147	561.4321	603.2147	641.5933	690.2731	743.6236	805.1491	919.3519	1025.482	1085.623
101	674.0723	174.743	307.9464	1349.43	378.3927	421.1413	458.1943	520.8637	577.7162	616.5136	652.7978	697.755	741.7351	811.1566	922.961	992.1996	1029.119
102	685.841	172.011	326.9587	1589.394	407.9596	444.7617	482.1753	534.4876	583.6634	623.8878	668.1362	710.3633	758.6541	819.8414	914.035	996.985	1056.858
103	699.4981	186.8684	357.182	1624.483	407.2825	446.5378	482	532.1663	579.5585	626.0887	668.4295	719.3886	777.11	861.6757	950.8791	1030.992	1114.542
104	699.4799	188.4628	305.7646	1445.645	402.3208	437.7305	481.6918	539.5405	581.8969	625.2935	669.4079	726.6079	775.7815	844.5271	951.6528	1047.253	1123.582
105	718.1759	188.9229	329.1489	1786.345	420.7363	460.4889	501.0709	553.6073	599.6591	647.4079	698.7188	744.6979	796.9492	860.9861	955.7902	1075.739	1144.952
106	721.5313	188.9405	354.7985	1561.997	424.0153	465.2086	505.1485	560.9162	601.0175	643.4182	689.0508	737.7886	802.82	868.505	977.9013	1078.439	1120.987
107	740.6188	190.9469	322.6996	1545.118	412.5191	472.0254	512.4734	572.2805	629.066	672.479	715.4467	765.3849	824.9618	897.4904	995.8725	1092.533	1145.81
108	737.3765	192.2863	319.5763	1511.144	423.1335	468.2446	501.0279	567.8715	615.4803	665.7319	710.0697	768.8693	824.0564	900.5865	996.1029	1082.855	1135.332
109	756.8015	194.556	339.5453	1723.228	446.8691	482.3204	518.0907	591.3755	638.4191	689.0842	731.264	780.4146	842.2102	913.0307	1016.456	1098.179	1154.89
110	767.1265	200.1452	385.2207	1725.33	456.7965	497.8474	542.143	593.5503	639.6452	687.9339	738.8769	786.2099	848.7573	924.5864	1039.65	1135.817	1221.889
111	777.2076	200.9863	352.8442	1638.223	445.4357	499.5758	537.8122	596.3363	655.5624	698.2528	754.9411	811.1671	871.0293	931.4736	1047.422	1135.415	1217.481
112	779.4203	205.5413	324.6999	1663.718	455.0352	492.6104	548.5809	604.1465	644.6224	689.9841	753.4846	806.9647	870.6021	948.532	1056.502	1148.05	1204.932
113	800.8277	200.9746	374.6852	1600.117	476.569	509.3957	565.6076	631.5821	685.6989	728.8381	771.8569	820.5157	882.2942	959.7307	1075.236	1181.054	1243.995
114	804.4516	211.9557	378.1574	1671.693	469.7308	512.6002	556.0872	618.6275	681.5666	729.421	780.1622	828.7237	883.8382	963.1204	1093.15	1218.019	1277.479
115	829.048	214.6992	413.3812	1689.753	477.8588	531.4762	577.298	651.6571	700.2785	745.7003	797.4585	856.6213	918.0142	988.1295	1119.257	1232.237	1312.406
116	827.5954	209.974	382.6474	1698.669	484.9051	525.0333	578.1652	644.5122	713.1059	758.8788	803.0355	852.3538	905.0459	980.9052	1111.395	1228.9	1288.97
117	843.8538	210.1885	400.9451	1654.054	507.4387	544.7889	590.2254	665.7086	711.2391	759.8664	820.8928	876.3059	944.0715	1014.098	1122.706	1241.366	1297.018
118	853.0722	224.8374	396.1275	1763.344	486.3713	532.8311	589.0722	662.7119	713.394	762.7647	818.4021	886.9786	956.4784	1027.94	1163.081	1265.397	1347.808
