n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
170	536322.1	14728.58	479442	584639	499659	509195	517837	526151	530192	533703	537040	540204	543444	547576	553929	559551	563515
171	545545.7	13740.84	495536	597443	515533	522461	527681	534859	539442	542566	545607	549067	552122	556467	562465	568246	571102
172	555603.9	15043.43	501395	607080	521991	529272	536789	543979	548711	552844	556128	559202	563070	567479	573630	580237	584877
173	566090.7	15200.66	498599	614948	533074	539711	546120	554715	559407	563129	566713	569580	573173	577646	584987	589920	594395
174	575270.5	15267.21	511477	631932	539698	548522	555417	563830	568687	572643	575978	579719	582554	587254	593742	599086	603101
175	586405.8	16047.64	512658	641866	552608	559228	565690	573243	579442	584047	587236	590484	593844	598600	605979	611519	616292
176	595011.4	15534.13	544277	652829	558325	568299	575801	583010	588143	591834	595436	598471	602245	607377	614936	619745	622821
177	605850	15887.75	538689	666900	570939	579768	584861	593492	598676	602293	606538	609855	613319	618664	625523	631239	635652
178	615842	16596.41	528280	676543	578317	588003	595360	603502	608700	612296	616000	619926	623775	628063	635801	642081	647321
179	626686.4	16195.92	552234	677487	586320	598892	606790	614928	620035	623900	627255	630498	633956	638675	646450	652794	657209
180	637268.6	16972.61	571449	695817	598234	609029	615996	623800	630591	634397	637818	641158	645060	649786	657026	664941	670303
181	648257.2	17037.72	578831	704416	608340	620442	627231	634611	640689	645401	649159	652634	656956	661765	668318	674592	678582
182	658524	17026.54	594607	720816	618748	628578	636839	645834	651497	655454	659596	663047	666881	670675	679481	685368	688248
183	670015	17192.52	601183	747610	632299	640392	649300	657118	662176	666316	670392	674147	678096	682496	690813	696742	700802
184	680424	16943.39	615073	744881	640608	652351	659451	667781	673455	677332	680437	684488	688361	692802	701552	707352	712164
185	691982.1	17738.32	623282	752358	652667	661534	670569	678606	683345	688347	692728	696157	700180	705227	712629	719070	725961
186	703721.5	18898.7	636607	763269	660489	670711	678266	689208	695398	700542	704503	708676	712444	717842	727123	734424	738750
187	713943	18439.81	648749	773166	674389	683591	690313	699185	705546	710121	714616	718291	722958	728684	735636	743215	748197
188	726493.6	19515.49	633093	786035	681748	694762	702480	711233	718110	722854	727173	731079	735542	741730	749506	757650	764474
189	738569	18918.04	663208	806702	697406	705471	715385	724787	730428	734621	739137	742954	747028	751836	761675	770441	776177
190	750442.4	18774.33	674082	832605	711216	719394	726789	735604	741597	746096	751036	755092	760013	765111	773343	780786	784166
191	761807.5	20107.48	687780	835804	715531	726706	735322	746172	753270	758247	763277	767408	771716	776651	785966	792957	798783
192	774091	20172.22	698502	853725	728554	739103	748715	758547	765263	769925	774791	779240	784210	790448	798461	805760	810191
193	785638.6	20190.98	705748	847843	739013	749694	760473	769759	777656	782070	787471	791530	796098	801337	810111	815903	821932
194	797943.9	20499.63	710542	884154	751740	762539	771410	782437	789184	794702	799487	803378	807607	813897	822966	829970	834351
195	810882.1	20777.91	739607	892735	764214	772948	785855	795299	801673	807207	811189	815813	820255	826166	835739	845303	850840
196	824680	20908.05	748864	904966	776994	789502	800314	809114	815769	819834	824132	828494	834244	840743	851031	859802	863851
197	836992.9	20962.77	750795	909978	788123	801086	809410	820977	828800	833666	837943	842154	846993	852931	861694	871073	876860
198	849389.4	21493.35	766032	923196	801019	812676	820444	832967	840760	846156	850766	854762	859754	865918	874425	884736	888792
199	862619	22071.05	751239	937307	810428	824756	833483	846047	853239	858825	863305	868091	874133	879862	888469	899370	902842
200	875246.7	20139.75	804219	944566	829151	839932	848832	859340	866355	871954	875971	880412	885426	890719	899353	907252	912141
201	889754.8	20137.83	810140	940718	842935	855061	863350	874214	880836	886214	890751	894959	898823	906070	914898	923359	928057
202	902116.4	22136.05	817673	972089	848671	863485	874206	885844	892734	897923	902679	907543	913097	918826	928818	936587	942842
