n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
233	22435.04	813.0063	19176	23992	20192	20731	21381	21869	22174	22419	22569	22763	22923	23089	23299	23460	23570
234	22567.19	804.75	19543	24126	20606	20986	21461	21924	22217	22472	22702	22915	23094	23251	23472	23661	23769
235	22843.33	787.4825	19782	24448	20518	21318	21812	22294	22585	22805	22996	23180	23304	23465	23681	23826	23934
236	23046.95	797.0682	19722	24548	20974	21527	21977	22439	22762	23015	23200	23357	23542	23709	23903	24092	24170
237	23216.62	813.9883	19804	24881	20996	21649	22047	22658	22935	23154	23379	23555	23730	23883	24084	24275	24356
238	23399.9	830.1476	20225	25102	21146	21796	22216	22767	23082	23347	23572	23766	23920	24091	24316	24462	24550
239	23595.63	857.0845	20377	25253	21392	21895	22354	22896	23300	23570	23791	23957	24144	24310	24519	24669	24769
240	23826.49	827.7188	20757	25974	21621	22213	22710	23179	23552	23793	23986	24171	24336	24482	24697	24930	25005
241	24040.4	837.6087	20907	25748	21883	22306	22888	23400	23775	24016	24194	24385	24557	24731	24959	25108	25205
242	24244.87	817.8132	21172	25939	22153	22614	23063	23633	23936	24184	24406	24589	24738	24935	25150	25320	25444
243	24420.34	883.837	21086	26317	21976	22696	23242	23792	24099	24362	24574	24764	24956	25129	25378	25560	25681
244	24619.65	856.6557	21255	26376	22367	22934	23471	24010	24330	24559	24797	24962	25140	25316	25540	25720	25811
245	24777.9	914.3395	21373	26616	22380	22996	23501	23978	24423	24751	24972	25154	25355	25534	25793	25950	26066
246	25068.57	915.54	21482	26872	22610	23225	23839	24413	24756	25046	25261	25453	25637	25795	26027	26235	26330
247	25290.38	848.3022	21923	27044	22940	23622	24150	24629	24982	25267	25439	25626	25799	25995	26197	26447	26535
248	25480.56	886.3048	22164	27137	23175	23718	24193	24796	25208	25472	25680	25836	26032	26218	26451	26595	26683
249	25690.19	934.0831	22096	27501	23071	23723	24441	25055	25426	25699	25875	26068	26239	26433	26698	26852	26951
250	25921.18	886.3719	22408	27728	23501	24122	24728	25284	25602	25869	26089	26273	26470	26654	26880	27067	27184
251	26159.63	899.2159	22903	28063	23813	24343	24881	25478	25859	26114	26335	26527	26689	26879	27162	27364	27470
252	26332.14	905.7302	22852	28184	23943	24446	25090	25659	26010	26266	26492	26705	26900	27088	27321	27475	27586
253	26573.86	890.3795	23050	28589	24047	24745	25444	25963	26280	26508	26730	26928	27111	27310	27549	27682	27788
254	26737.77	927.8248	23009	28744	24252	24923	25438	26034	26398	26728	26939	27125	27296	27512	27724	27896	27995
255	26913.99	948.2756	23323	28756	24470	25087	25577	26122	26544	26830	27077	27282	27511	27752	27985	28164	28263
256	27230.19	929.6579	23891	29096	24768	25458	25938	26488	26963	27224	27409	27628	27799	28003	28212	28354	28472
