n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
140	1482.056	123.1862	1275	2099	1316	1333	1353	1386	1411	1433	1457	1482	1512	1562	1640	1727	1806
141	1492.875	126.72	1248	2243	1324	1344	1366	1395	1416	1438	1461	1491	1527	1583	1653	1731	1789
142	1506.425	120.8444	1293	2125	1336	1359	1379	1409	1435	1455	1480	1506	1541	1596	1668	1738	1809
143	1525.219	126.3749	1288	2145	1356	1371	1396	1429	1455	1474	1495	1522	1553	1607	1706	1772	1823
144	1531.78	118.3103	1267	2184	1363	1384	1409	1445	1465	1482	1507	1531	1562	1609	1688	1767	1821
145	1549.833	133.4839	1327	2201	1366	1392	1414	1444	1471	1496	1519	1548	1581	1632	1740	1814	1875
146	1567.324	134.6323	1348	2305	1388	1411	1434	1461	1486	1511	1536	1563	1602	1655	1754	1848	1915
147	1582.143	134.4092	1347	2156	1400	1424	1444	1475	1499	1526	1551	1579	1622	1674	1770	1855	1914
148	1596.432	136.1711	1355	2538	1417	1438	1460	1495	1517	1539	1563	1593	1624	1685	1776	1858	1925
149	1610.801	133.0213	1382	2358	1435	1454	1477	1506	1529	1555	1580	1612	1653	1694	1777	1868	1935
150	1621.321	132.119	1385	2475	1435	1462	1488	1519	1540	1565	1588	1620	1658	1717	1806	1883	1930
151	1635.874	133.9147	1399	2306	1453	1478	1499	1530	1555	1579	1603	1632	1674	1729	1816	1895	1957
152	1655.067	137.7414	1388	2262	1468	1492	1512	1549	1576	1598	1625	1652	1688	1733	1850	1944	1999
153	1666.189	143.0264	1442	2388	1476	1501	1526	1557	1582	1608	1634	1668	1697	1750	1842	1961	2022
154	1686.27	146.6384	1438	2313	1496	1517	1537	1573	1597	1622	1646	1678	1720	1792	1889	1979	2057
155	1695.793	135.7082	1453	2404	1503	1528	1554	1590	1616	1641	1667	1695	1730	1788	1875	1967	2020
156	1716.493	140.7369	1460	2411	1522	1541	1571	1605	1632	1659	1687	1718	1752	1808	1915	2010	2059
157	1722.551	139.3027	1439	2311	1536	1558	1583	1612	1637	1663	1686	1722	1759	1812	1928	2017	2073
158	1734.318	142.5102	1476	2630	1541	1567	1586	1623	1649	1674	1704	1733	1768	1838	1926	2016	2066
159	1765.301	152.9585	1513	2698	1564	1590	1611	1643	1671	1702	1727	1761	1809	1871	1968	2076	2131
160	1769.941	145.2747	1530	2562	1577	1599	1620	1654	1683	1710	1741	1772	1809	1861	1960	2066	2144
161	1788.283	150.7489	1516	2613	1588	1615	1639	1672	1701	1726	1754	1789	1827	1881	1983	2079	2147
162	1806.344	159.198	1553	2616	1608	1628	1649	1687	1713	1740	1765	1800	1840	1903	2007	2120	2208
163	1810.96	145.0344	1550	3056	1612	1641	1664	1696	1727	1752	1782	1812	1858	1908	1997	2072	2167
164	1832.673	151.6627	1554	2667	1615	1651	1675	1710	1743	1770	1802	1836	1877	1934	2029	2135	2200
165	1844.178	148.1563	1582	2621	1640	1675	1696	1730	1755	1778	1805	1843	1884	1939	2046	2134	2193
166	1867.6	157.4197	1610	2763	1661	1682	1709	1746	1771	1799	1826	1859	1906	1977	2093	2182	2248
167	1875.332	154.2123	1579	2648	1669	1698	1721	1754	1778	1807	1840	1874	1918	1977	2086	2189	2256
168	1894.232	156.7446	1640	2620	1676	1711	1736	1771	1799	1824	1853	1890	1940	2002	2114	2221	2282
169	1911.425	165.0471	1625	2811	1698	1727	1752	1783	1808	1840	1869	1909	1952	2012	2134	2247	2362
170	1918.136	147.1957	1609	2594	1707	1736	1764	1803	1831	1861	1889	1915	1957	2015	2122	2209	2278
171	1943.71	159.1727	1642	2729	1737	1759	1778	1814	1851	1881	1908	1943	1984	2043	2149	2269	2354
172	1952.925	164.5437	1681	2773	1730	1759	1786	1826	1853	1882	1917	1950	1991	2061	2170	2269	2344
173	1972.487	165.5383	1673	2736	1752	1780	1808	1842	1871	1899	1934	1972	2022	2081	2184	2298	2379
174	1985.509	167.5417	1716	2956	1777	1802	1824	1860	1889	1913	1946	1983	2025	2089	2195	2282	2386
175	2002.48	170.0248	1713	2859	1776	1801	1834	1867	1898	1928	1962	2000	2048	2116	2237	2341	2396
176	2023.269	167.4665	1737	2894	1796	1826	1857	1886	1924	1955	1987	2023	2067	2134	2236	2366	2429
177	2019.664	164.4451	1754	2989	1805	1829	1858	1898	1923	1951	1985	2017	2059	2107	2230	2361	2443
178	2038.28	159.6200	1733	2846	1814	1851	1878	1918	1946	1971	1999	2034	2080	2133	2254	2363	2432
179	2057.475	170.6456	1763	2961	1826	1852	1891	1930	1959	1986	2016	2052	2095	2158	2276	2399	2486
180	2088.626	188.4577	1788	3034	1852	1882	1905	1946	1979	2008	2038	2078	2133	2188	2337	2475	2546
181	2080.587	160.9269	1795	2775	1861	1886	1915	1951	1982	2011	2041	2078	2126	2196	2311	2408	2477
182	2118.906	181.0422	1824	3040	1879	1905	1935	1977	2006	2042	2079	2122	2173	2239	2351	2481	2560
183	2116.979	167.2851	1810	2850	1872	1909	1941	1984	2020	2050	2082	2117	2163	2230	2347	2454	2528
184	2127.129	172.8824	1814	3045	1882	1922	1954	1992	2022	2053	2087	2127	2178	2249	2355	2469	2553
185	2153.786	179.5555	1819	3047	1917	1949	1979	2015	2043	2073	2105	2148	2200	2273	2394	2511	2602
186	2171.716	179.1531	1852	2974	1931	1968	1998	2032	2065	2095	2128	2167	2220	2281	2418	2545	2634
187	2178.215	184.4796	1858	3162	1929	1962	1997	2040	2074	2103	2135	2176	2225	2300	2404	2529	2641
188	2196.683	177.9734	1884	3133	1965	1990	2017	2059	2088	2116	2152	2194	2243	2313	2430	2551	2646
189	2211.241	179.0619	1866	3389	1975	2005	2034	2073	2104	2134	2169	2206	2252	2330	2452	2572	2630
190	2229.484	182.9249	1881	3077	1989	2020	2042	2085	2121	2148	2185	2228	2280	2352	2469	2592	2685
191	2251.36	193.2268	1937	3386	2005	2034	2063	2103	2134	2161	2200	2246	2296	2380	2520	2656	2742
192	2258.48	181.6568	1946	3285	2018	2045	2072	2116	2150	2182	2213	2253	2309	2386	2503	2620	2693
193	2274.707	180.1776	1957	3137	2027	2065	2097	2136	2169	2199	2232	2274	2318	2394	2510	2627	2736
194	2302.552	195.7642	1967	3376	2047	2078	2110	2153	2191	2223	2255	2295	2348	2417	2545	2693	2784
195	2311.633	192.0768	1965	3517	2058	2085	2118	2160	2193	2227	2264	2318	2368	2447	2561	2678	2735
196	2318.86	178.7519	1998	3203	2067	2108	2136	2176	2206	2235	2276	2318	2377	2450	2563	2658	2757
197	2340.772	193.8604	1982	3372	2086	2120	2148	2187	2220	2255	2297	2342	2393	2468	2591	2718	2830
198	2346.366	187.6199	2035	3393	2096	2127	2156	2200	2228	2268	2308	2352	2398	2468	2600	2718	2787
199	2374.351	200.1452	2029	3433	2116	2152	2181	2218	2250	2287	2322	2368	2422	2496	2654	2801	2878
200	2379.164	198.3509	2046	3489	2129	2156	2184	2229	2262	2297	2330	2371	2428	2509	2613	2782	2889
201	2404.183	194.7747	2035	3317	2136	2175	2212	2249	2284	2319	2356	2401	2461	2540	2678	2804	2896
202	2422.475	198.0187	2085	3540	2151	2186	2220	2264	2305	2342	2381	2424	2473	2546	2689	2823	2892
203	2442.311	200.4017	2125	3307	2169	2202	2238	2285	2323	2359	2395	2434	2493	2573	2718	2850	2976
204	2442.865	193.0785	2080	3334	2176	2218	2248	2295	2331	2362	2398	2438	2486	2570	2708	2810	2916
205	2463.934	205.9281	2091	3490	2192	2225	2258	2307	2340	2375	2406	2455	2520	2597	2752	2876	2975
206	2489.138	210.4115	2093	3396	2210	2249	2278	2319	2360	2398	2437	2482	2543	2632	2806	2916	2978
207	2505.819	215.0210	2169	3745	2222	2256	2282	2333	2375	2412	2455	2503	2561	2661	2806	2929	2983
208	2522.326	215.0326	2142	3660	2236	2284	2312	2357	2395	2430	2467	2517	2576	2667	2804	2938	3061
209	2536.077	212.1114	2160	4190	2255	2305	2328	2377	2407	2445	2483	2526	2589	2673	2805	2947	3029
210	2542.709	202.767	2186	3527	2275	2310	2343	2384	2419	2454	2491	2538	2586	2680	2819	2957	3035
211	2562.12	212.7398	2214	3834	2291	2323	2354	2395	2431	2469	2511	2558	2613	2702	2841	2978	3092
212	2577.82	214.5999	2201	3876	2295	2322	2371	2414	2449	2482	2526	2573	2626	2729	2856	3009	3117
213	2587.881	208.1608	2222	4072	2320	2351	2381	2428	2461	2502	2538	2580	2650	2717	2862	2962	3039
214	2611.243	214.2271	2230	3749	2337	2367	2400	2447	2482	2518	2557	2601	2662	2755	2899	3028	3156
215	2622.336	212.1838	2237	4053	2340	2377	2415	2457	2496	2532	2576	2621	2676	2751	2899	3032	3121
216	2640.84	208.4471	2257	3673	2362	2386	2424	2473	2514	2548	2589	2640	2705	2784	2930	3068	3139
217	2653.655	203.3055	2278	3713	2376	2399	2439	2493	2534	2571	2609	2653	2711	2786	2943	3046	3136
