n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
216	5116.739	619.8375	3833	8037	4100	4286	4419	4608	4754	4895	5030	5195	5342	5569	5926	6318	6541
217	5187.296	586.7248	3745	7899	4183	4337	4520	4695	4834	4985	5133	5283	5454	5631	5938	6234	6467
218	5179.467	584.0601	3577	7560	4192	4342	4501	4678	4837	4976	5096	5241	5448	5660	5944	6217	6410
219	5270.346	614.6767	3832	7634	4208	4376	4539	4715	4890	5047	5210	5378	5555	5769	6072	6373	6588
220	5255.996	625.4353	3700	7941	4136	4355	4544	4731	4882	5016	5187	5344	5533	5757	6095	6376	6547
221	5312.299	585.1161	3968	7871	4300	4485	4637	4806	4948	5098	5255	5391	5562	5787	6093	6326	6546
222	5373.717	636.9396	3820	8898	4255	4456	4635	4862	5043	5169	5302	5475	5607	5844	6189	6523	6702
223	5359.527	613.9726	3845	8401	4318	4490	4639	4853	4998	5153	5271	5421	5600	5833	6240	6516	6648
224	5414.45	640.73	3971	8369	4330	4469	4679	4904	5047	5196	5321	5496	5647	5867	6279	6580	6847
225	5430.07	640.7321	3837	9114	4337	4530	4689	4877	5062	5221	5370	5523	5696	5920	6206	6540	6755
226	5483.621	640.441	3962	8613	4348	4579	4738	4946	5128	5277	5415	5572	5757	5942	6293	6611	6877
227	5526.569	650.6728	3893	8758	4434	4570	4756	4963	5136	5299	5472	5643	5821	6038	6345	6632	6831
228	5566.866	625.78	3852	8153	4502	4655	4825	5025	5208	5376	5499	5659	5835	6047	6384	6661	6955
229	5611.189	664.1729	4031	9330	4467	4689	4857	5099	5249	5383	5520	5670	5866	6091	6480	6769	7058
230	5649.938	667.6072	4287	9092	4521	4674	4864	5098	5270	5431	5560	5717	5915	6178	6528	6873	7040
231	5684.863	673.541	4035	8083	4534	4706	4873	5099	5271	5474	5609	5778	5968	6242	6593	6951	7139
232	5756.911	658.0291	4172	8816	4566	4797	4978	5225	5400	5521	5676	5835	6024	6315	6624	6921	7112
233	5792.268	727.8052	3967	9233	4596	4770	4951	5174	5368	5546	5710	5901	6066	6312	6734	7113	7368
