n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
152	9530.825	228.4701	8347	10036	8978	9109	9219	9361	9453	9512	9555	9614	9662	9719	9791	9845	9878
153	9655.443	218.7967	8599	10097	9112	9233	9362	9494	9578	9633	9679	9730	9783	9841	9908	9961	9986
154	9790.892	220.1739	8852	10296	9230	9367	9493	9635	9706	9769	9814	9864	9916	9968	10043	10107	10137
155	9913.217	232.0631	8763	10455	9329	9503	9604	9735	9831	9886	9947	9996	10052	10105	10172	10223	10257
156	10062.09	220.9466	9073	10597	9496	9645	9775	9896	9979	10038	10092	10150	10197	10251	10308	10349	10378
157	10186.73	228.7197	8879	10729	9600	9777	9880	10030	10102	10166	10227	10267	10316	10375	10446	10496	10528
158	10296.27	239.3982	9309	10826	9735	9854	9981	10111	10205	10270	10321	10378	10432	10496	10581	10635	10678
159	10460.43	243.2054	9460	11067	9824	9983	10142	10284	10367	10429	10493	10547	10599	10661	10738	10794	10832
160	10583.08	232.6168	9596	11135	10012	10162	10283	10408	10478	10549	10612	10663	10718	10784	10855	10910	10944
161	10722.19	244.0885	9459	11307	10132	10252	10403	10550	10632	10692	10750	10809	10862	10921	11004	11062	11094
162	10862.38	241.4151	9640	11450	10266	10440	10561	10683	10765	10821	10883	10935	11001	11069	11145	11207	11254
163	10984.94	269.829	9400	11673	10295	10494	10629	10798	10878	10956	11020	11084	11134	11205	11288	11362	11400
164	11133.61	255.7792	9977	11665	10509	10667	10792	10944	11031	11111	11169	11227	11282	11347	11425	11474	11504
165	11270.29	261.0642	9880	11937	10591	10773	10907	11081	11171	11250	11308	11366	11428	11487	11562	11617	11649
166	11396.11	273.4076	9844	12018	10672	10892	11047	11209	11300	11367	11439	11496	11556	11613	11696	11755	11797
167	11549.37	270.1041	10358	12181	10827	11030	11205	11358	11448	11527	11592	11646	11700	11765	11859	11922	11953
168	11690.18	271.8947	10213	12275	10970	11185	11347	11498	11586	11662	11729	11794	11848	11914	11988	12057	12088
169	11844.16	266.0826	10635	12533	11175	11371	11485	11638	11745	11819	11877	11928	11990	12057	12153	12218	12271
170	11971.59	277.8092	10453	12539	11280	11459	11611	11768	11865	11943	12007	12075	12134	12205	12286	12344	12377
171	12124.58	291.1202	10533	12756	11371	11582	11704	11937	12020	12095	12173	12235	12299	12362	12454	12505	12541
172	12266.5	278.563	10782	12868	11554	11753	11919	12061	12148	12232	12305	12368	12427	12503	12579	12635	12677
173	12424.82	275.8731	11270	13073	11742	11915	12072	12217	12315	12380	12462	12532	12590	12647	12732	12809	12847
174	12562.4	292.5164	11113	13271	11797	12021	12173	12348	12452	12540	12608	12667	12731	12804	12892	12953	12990
175	12696.44	290.3798	11509	13421	11877	12146	12322	12486	12585	12671	12739	12805	12860	12929	13022	13089	13131
176	12849.57	301.7207	11648	13564	12097	12268	12426	12623	12737	12814	12888	12964	13020	13103	13191	13280	13331
177	13005.2	289.1321	11526	13659	12284	12483	12624	12783	12895	12982	13051	13105	13169	13244	13321	13394	13445
178	13148.5	297.4885	11667	13850	12376	12623	12754	12926	13032	13116	13187	13252	13318	13402	13500	13544	13576
179	13303.04	295.7159	11879	14078	12576	12773	12925	13067	13183	13272	13337	13403	13481	13552	13642	13690	13755
180	13479.44	289.1098	11959	14198	12762	12950	13105	13251	13363	13451	13516	13576	13637	13711	13815	13898	13938
181	13605.44	306.5175	12210	14253	12787	13049	13226	13373	13491	13571	13648	13724	13783	13852	13961	14008	14049
182	13753.65	305.5331	12428	14487	12955	13180	13345	13516	13634	13732	13795	13860	13923	13998	14107	14175	14217
183	13919.57	311.2613	12550	14583	13126	13350	13499	13691	13807	13886	13960	14030	14102	14183	14269	14351	14399
184	14069.33	309.2566	12598	14861	13320	13484	13662	13837	13960	14045	14108	14181	14253	14322	14411	14495	14528
185	14233.38	309.7998	12887	14914	13453	13681	13830	13988	14092	14192	14268	14347	14419	14501	14604	14673	14718
186	14395.27	337.3582	12928	15120	13475	13742	13947	14134	14276	14374	14462	14529	14592	14669	14768	14838	14878
187	14547.23	326.0827	13336	15234	13726	13929	14091	14282	14418	14513	14592	14658	14749	14821	14928	15013	15073
188	14708.98	338.4312	12835	15495	13876	14112	14267	14473	14585	14680	14767	14843	14903	14969	15079	15153	15195
189	14880.53	334.256	13566	15716	14083	14259	14421	14629	14753	14843	14924	15008	15072	15149	15260	15337	15386
190	15014.95	320.3375	13521	15786	14171	14454	14592	14769	14882	14980	15051	15133	15210	15285	15386	15448	15498
191	15188.7	348.9854	13171	16086	14338	14545	14709	14907	15051	15154	15246	15327	15396	15476	15573	15675	15722
192	15347.17	343.3932	13498	16172	14474	14747	14897	15083	15218	15306	15389	15465	15543	15627	15742	15825	15888
193	15529.1	330.2721	14196	16208	14621	14921	15109	15285	15398	15479	15568	15648	15727	15805	15912	15979	16024
194	15670.68	370.2837	14044	16512	14754	14976	15172	15377	15511	15626	15730	15808	15896	15989	16108	16185	16218
195	15853.61	362.777	13909	16740	14961	15193	15395	15583	15711	15807	15898	15980	16058	16148	16276	16367	16417
196	16004.24	350.7344	14346	16741	15168	15364	15546	15743	15868	15964	16045	16128	16209	16295	16420	16488	16535
197	16173.69	362.0312	14538	16971	15163	15487	15693	15918	16053	16127	16226	16304	16378	16461	16594	16680	16723
198	16319.24	380.5915	14864	17429	15372	15607	15819	16028	16161	16263	16374	16459	16540	16630	16759	16848	16917
199	16517.05	372.2292	14387	17403	15607	15839	16048	16229	16358	16476	16568	16650	16745	16827	16928	17031	17088
200	16702.51	349.9816	15175	17617	15819	16064	16257	16415	16555	16666	16760	16831	16909	16984	17104	17211	17260
201	16848.18	362.8145	15098	17603	15906	16193	16369	16575	16699	16805	16893	16966	17067	17158	17261	17351	17402
202	17033.04	376.4248	15188	17854	16078	16325	16550	16762	16889	16993	17076	17173	17254	17336	17461	17564	17613
203	17186.94	401.1056	15310	18163	16191	16462	16644	16888	17029	17141	17240	17325	17414	17512	17646	17740	17802
204	17347.67	386.1118	15774	18183	16388	16594	16826	17054	17197	17310	17406	17481	17566	17672	17792	17893	17953
205	17535.25	387.9447	15404	18364	16530	16826	17032	17247	17391	17489	17581	17668	17763	17842	17983	18082	18136
206	17704.07	396.2057	15681	18572	16691	16949	17154	17391	17537	17655	17759	17855	17943	18039	18165	18246	18285
207	17861.08	422.5843	15975	18772	16782	17109	17308	17534	17715	17818	17921	18015	18100	18216	18346	18428	18484
208	18071.26	406.9007	16266	18958	17096	17287	17544	17766	17918	18022	18128	18209	18313	18416	18550	18616	18675
209	18245.21	416.035	16428	19180	17237	17497	17680	17930	18079	18176	18281	18383	18496	18597	18720	18813	18887
210	18442.06	412.0042	16594	19301	17401	17698	17913	18137	18274	18405	18503	18592	18682	18761	18903	19007	19062
211	18602.25	419.2854	16794	19585	17528	17847	18039	18274	18457	18576	18677	18751	18835	18939	19064	19154	19222
212	18771.49	430.9123	16939	19654	17766	17979	18176	18422	18603	18747	18848	18939	19021	19123	19257	19362	19428
213	18972.39	420.4473	16841	19876	17925	18177	18437	18644	18802	18935	19030	19132	19226	19327	19450	19523	19580
214	19136.83	429.7773	17289	20211	18119	18328	18553	18810	18964	19087	19201	19296	19384	19504	19637	19729	19774
215	19336.4	426.446	17605	20377	18244	18543	18776	19005	19156	19281	19391	19485	19583	19693	19819	19955	20054
216	19475.23	445.91	17325	20500	18425	18624	18869	19131	19311	19429	19544	19633	19737	19841	19992	20093	20145
217	19672.44	445.3083	17643	20629	18540	18863	19087	19339	19494	19600	19726	19840	19933	20051	20185	20278	20370
218	19866.76	462.2161	17643	20861	18634	18984	19240	19529	19704	19833	19947	20039	20132	20239	20376	20472	20532
219	20057.86	464.7561	17672	21196	18818	19189	19454	19694	19908	20021	20118	20222	20328	20432	20589	20686	20735
220	20265.12	464.4875	18083	21254	19115	19437	19633	19929	20086	20195	20324	20451	20558	20644	20789	20894	20958
221	20427.59	456.0215	18374	21414	19349	19554	19803	20054	20238	20366	20491	20598	20692	20821	20954	21076	21170
222	20608.95	476.2784	18011	21620	19368	19727	20014	20256	20440	20564	20658	20769	20885	20999	21148	21263	21330
223	20810.48	474.2647	18240	21922	19611	19914	20152	20478	20653	20771	20876	20989	21097	21201	21333	21435	21479
224	20994.83	461.9873	19060	21961	19876	20126	20354	20623	20801	20950	21065	21174	21263	21383	21528	21645	21704
225	21191.17	480.7528	19253	22328	19992	20290	20559	20842	20998	21136	21243	21357	21470	21596	21748	21868	21928
226	21396.25	484.0994	18429	22418	20112	20518	20790	21051	21228	21344	21477	21579	21686	21780	21919	22023	22088
227	21562.01	492.5776	18992	22674	20232	20661	20881	21149	21375	21513	21649	21753	21864	21991	22098	22217	22295
228	21740.96	502.062	19346	22776	20491	20776	21054	21384	21569	21690	21799	21928	22042	22167	22291	22402	22472
229	21975.4	489.9561	19074	23140	20691	21102	21331	21613	21817	21937	22056	22161	22254	22353	22526	22618	22700
230	22168.37	499.8814	20205	23274	20940	21205	21509	21748	21957	22124	22242	22353	22482	22590	22745	22852	22909
231	22376.87	480.804	20318	23456	21057	21498	21753	22022	22198	22316	22438	22540	22654	22786	22915	23023	23114
232	22539.2	509.6107	20362	23644	21282	21589	21878	22131	22320	22465	22612	22735	22853	22992	23130	23221	23265
233	22752.92	516.1142	19978	23897	21476	21779	22048	22325	22531	22695	22843	22952	23064	23182	23345	23473	23564
234	22941.57	521.835	20453	24193	21619	21952	22229	22558	22740	22878	23024	23134	23247	23369	23549	23651	23718
235	23146.69	525.1743	20362	24416	21786	22164	22465	22758	22954	23082	23218	23335	23457	23579	23756	23860	23923
236	23355.73	516.932	21307	24551	22044	22378	22666	22990	23161	23286	23416	23528	23657	23787	23959	24066	24133
237	23570.7	518.8337	21263	24725	22219	22571	22927	23202	23362	23499	23633	23760	23861	24000	24165	24282	24352
238	23769.3	535.9088	21463	24901	22390	22735	23092	23378	23574	23701	23843	23956	24084	24224	24400	24485	24573
239	23975.03	527.7325	21109	25259	22657	23022	23309	23574	23777	23916	24037	24154	24276	24427	24565	24672	24751
240	24177.21	552.708	21305	25465	22815	23184	23472	23762	23951	24114	24286	24405	24511	24619	24775	24894	24978
241	24354.73	569.271	21535	25661	22914	23297	23593	23969	24149	24309	24431	24556	24677	24826	24983	25111	25226
242	24572.55	558.0846	22165	25817	23096	23586	23871	24152	24347	24496	24647	24761	24913	25039	25218	25334	25423
243	24785.4	559.724	21865	25903	23358	23789	24020	24394	24592	24738	24885	24997	25103	25238	25405	25538	25599
244	24963.72	581.2192	21793	26372	23517	23869	24213	24538	24744	24901	25043	25161	25304	25440	25612	25779	25858
245	25184.7	573.0183	22409	26410	23841	24119	24428	24733	24946	25107	25261	25393	25523	25654	25848	26006	26072
246	25396.33	575.1739	22751	26675	24019	24348	24628	24949	25168	25337	25486	25616	25720	25865	26061	26193	26290
247	25627.84	590.1486	22858	27014	23996	24548	24851	25199	25421	25578	25708	25816	25960	26118	26283	26436	26512
248	25823.15	553.6498	23116	27249	24480	24806	25083	25392	25607	25756	25898	26024	26139	26276	26442	26611	26693
249	26023.09	597.1933	22857	27417	24463	24928	25280	25595	25787	25954	26099	26242	26371	26528	26706	26834	26887
250	26256.19	612.7811	23473	27425	24705	25141	25442	25822	26016	26198	26337	26501	26627	26761	26943	27055	27148
251	26444.08	598.139	23180	27685	24987	25367	25669	26010	26211	26359	26513	26642	26796	26947	27120	27262	27352
252	26700.5	607.5306	23378	27932	25238	25550	25890	26235	26462	26634	26804	26932	27080	27211	27367	27490	27610
253	26896.34	607.8156	23058	28364	25319	25805	26068	26459	26659	26836	26975	27103	27248	27409	27573	27710	27807
254	27121.31	604.1887	24415	28446	25611	25987	26295	26660	26879	27072	27214	27345	27477	27616	27799	27966	28036
255	27321.43	624.4281	24543	28896	25725	26111	26501	26844	27067	27250	27413	27544	27691	27830	28043	28192	28263
256	27551.1	629.3823	24490	28825	25838	26351	26765	27077	27329	27499	27644	27787	27939	28067	28225	28375	28448
257	27791.07	608.473	25246	29054	26261	26681	27018	27339	27548	27698	27859	28009	28155	28303	28503	28635	28697
