n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
109	3709725	32065.34	3577069	3778336	3624576	3647228	3664198	3685023	3697331	3708356	3716258	3722688	3728765	3736392	3744893	3750020	3754418
110	3847165	36076.35	3661283	3926870	3753876	3777364	3802286	3822394	3835079	3844587	3852254	3859610	3868217	3876441	3886971	3894174	3898605
111	3993622	34201.31	3825338	4060873	3906569	3931508	3947129	3968324	3982062	3991299	3999553	4006706	4014398	4022296	4031652	4038161	4042170
112	4141380	37552.13	3948548	4210406	4038432	4069741	4091499	4118075	4129754	4139595	4147739	4155573	4163575	4170669	4180967	4188872	4193077
113	4292165	38183.98	4097880	4366898	4185794	4222008	4244540	4265050	4277971	4290443	4298042	4306138	4314811	4323248	4334022	4341805	4346358
114	4448106	40422.84	4187855	4528764	4346142	4374297	4395311	4419340	4433057	4444356	4454698	4464961	4471953	4481519	4492366	4498727	4503307
115	4607269	41287.07	4374048	4684341	4502274	4528238	4554187	4578268	4592001	4605196	4615056	4623972	4631641	4640404	4651365	4660179	4664633
116	4775154	40435.25	4534539	4860204	4659927	4695697	4720930	4748865	4761494	4774236	4782736	4790769	4799413	4807080	4817537	4825069	4829408
117	4940599	44472.11	4657037	5023764	4823971	4856617	4879819	4908038	4927419	4939542	4949598	4957898	4968977	4976582	4985870	4993116	4999359
118	5117673	40908.27	4915070	5201553	5012148	5040960	5062091	5086059	5102523	5114437	5124577	5134229	5143311	5152347	5162568	5172615	5175050
119	5292070	46404.25	5019119	5380443	5174808	5199457	5230607	5260366	5277291	5290266	5299952	5309253	5319661	5329458	5341594	5350659	5354581
120	5476960	47151.57	5242395	5569373	5351544	5383408	5414703	5442997	5460379	5473687	5486079	5495726	5505154	5516488	5527852	5536351	5542158
121	5662101	46654.35	5398817	5754465	5538978	5570316	5599118	5628473	5644177	5658106	5670428	5681161	5690290	5701487	5714362	5721131	5728355
122	5854908	48194.56	5561567	5942662	5729146	5760164	5792345	5820805	5839614	5851981	5863282	5873290	5883043	5892999	5907073	5916116	5921589
