n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
135	267568.8	8534.994	232418	297898	249252	253004	255799	260106	263444	265994	268181	270184	272451	274779	277654	280739	282229
136	273113.4	8756.44	235200	296434	253400	257818	261433	266197	269097	271521	273578	275651	277687	280309	284097	286537	288466
137	278945.9	8823.518	242621	303276	258951	263639	267961	271547	274654	276971	279195	281470	283559	286285	289547	292760	295272
138	286177.5	8955.769	254356	314511	267009	270870	274176	278888	282081	284632	286636	288732	290954	293486	297044	299902	301803
139	291483.1	9474.118	252811	317853	271177	275808	279874	283746	286713	289442	291812	293857	296495	299255	303454	306583	308752
140	299014.6	9374.16	268190	331074	278369	282727	286402	291381	294531	297273	299653	301475	303846	306700	310688	313508	315392
141	304717.0	9255.607	259417	331322	282169	289062	292731	297273	300386	302826	305529	307449	309570	312081	316267	318902	320774
142	311363.7	9817.827	265650	347131	288589	294924	299011	303526	306540	309367	311980	314370	316433	319359	323127	326196	328134
143	318278.2	9631.415	284523	345857	297756	301568	305649	310555	313267	316488	318713	321276	323735	326407	330264	333533	334743
144	324931.8	9711.55	264544	353237	304106	309114	312900	316864	320070	322833	325133	327415	329590	332958	336906	340646	342520
145	331628.5	10458.10	278982	366552	307761	312838	318263	323213	326749	329452	332066	334361	337077	340409	344875	347683	349706
146	338740.2	10739.26	300202	386980	313972	320354	325154	330072	333694	336653	339433	341854	344285	347453	350719	355471	357734
147	346275.4	10078.04	305939	376184	324075	328855	332843	337481	341191	344688	347299	349456	351514	354474	358265	361440	364095
148	353496	11043.47	316943	384783	328542	335156	339117	344949	348229	351078	353841	356285	359278	362475	367028	371295	374027
149	360258.7	10634.20	321176	398704	337016	341942	346401	351299	355041	358543	361053	363209	365892	369337	373379	376234	378927
150	367485.8	11240.43	323232	402650	341929	348813	353623	358865	362290	365096	367728	370696	373311	376168	381850	384894	387637
151	374836.4	10767.41	333836	411262	350292	356649	361663	365889	369742	372775	375374	378011	380508	383712	387731	391863	393602
